Date,Open,High,Low,Close,Volume
2026-05-07 00:00:00+02:00,590.0,592.0,584.0,584.0,434
2026-05-08 00:00:00+02:00,590.0,604.0,580.0,598.0,944
2026-05-11 00:00:00+02:00,600.0,606.0,574.0,580.0,4701
2026-05-12 00:00:00+02:00,580.0,580.0,554.0,566.0,1226
2026-05-13 00:00:00+02:00,582.0,582.0,526.0,542.0,11892
2026-05-14 00:00:00+02:00,526.0,556.0,520.0,544.0,7357
2026-05-15 00:00:00+02:00,528.0,538.0,524.0,524.0,2072
2026-05-18 00:00:00+02:00,524.0,530.0,514.0,520.0,1339
2026-05-19 00:00:00+02:00,520.0,536.0,516.0,520.0,1069
2026-05-20 00:00:00+02:00,520.0,532.0,516.0,528.0,1059
2026-05-21 00:00:00+02:00,522.0,528.0,514.0,526.0,908
2026-05-22 00:00:00+02:00,526.0,526.0,512.0,520.0,1035
2026-05-25 00:00:00+02:00,520.0,534.0,504.0,532.0,1818
2026-05-26 00:00:00+02:00,530.0,534.0,520.0,530.0,748
2026-05-27 00:00:00+02:00,530.0,530.0,508.0,518.0,1468
2026-05-28 00:00:00+02:00,524.0,532.0,518.0,526.0,1417
2026-05-29 00:00:00+02:00,532.0,532.0,500.0,516.0,5891
2026-06-01 00:00:00+02:00,514.0,516.0,500.0,516.0,1836
2026-06-02 00:00:00+02:00,514.0,520.0,506.0,518.0,1322
2026-06-03 00:00:00+02:00,514.0,520.0,506.0,520.0,1356
2026-06-05 00:00:00+02:00,520.0,520.0,510.0,516.0,385
2026-06-08 00:00:00+02:00,508.0,522.0,504.0,520.0,1412
2026-06-09 00:00:00+02:00,514.0,522.0,512.0,518.0,986
2026-06-10 00:00:00+02:00,520.0,520.0,508.0,510.0,851
2026-06-11 00:00:00+02:00,510.0,520.0,506.0,520.0,509
2026-06-12 00:00:00+02:00,518.0,520.0,508.0,520.0,832
2026-06-15 00:00:00+02:00,518.0,518.0,497.0,502.0,2703
2026-06-16 00:00:00+02:00,502.0,510.0,499.0,508.0,1188
2026-06-17 00:00:00+02:00,508.0,512.0,502.0,512.0,682
2026-06-18 00:00:00+02:00,510.0,510.0,500.0,506.0,1229
2026-06-19 00:00:00+02:00,506.0,510.0,500.0,510.0,815
2026-06-22 00:00:00+02:00,502.0,518.0,502.0,506.0,527
2026-06-23 00:00:00+02:00,512.0,512.0,504.0,506.0,252
2026-06-24 00:00:00+02:00,512.0,528.0,512.0,518.0,938
2026-06-25 00:00:00+02:00,518.0,520.0,510.0,518.0,409
2026-06-26 00:00:00+02:00,518.0,518.0,500.0,500.0,1286
2026-06-29 00:00:00+02:00,508.0,508.0,486.0,487.0,1573
2026-06-30 00:00:00+02:00,494.0,494.0,476.0,480.0,1701
2026-07-01 00:00:00+02:00,479.0,482.0,474.0,477.0,1445
2026-07-02 00:00:00+02:00,478.0,482.0,459.0,480.0,2493
2026-07-03 00:00:00+02:00,477.0,493.0,475.0,480.0,1503
2026-07-06 00:00:00+02:00,480.0,480.0,463.0,470.0,1877
2026-07-07 00:00:00+02:00,470.0,474.0,468.0,469.0,592
2026-07-08 00:00:00+02:00,471.0,475.0,466.0,467.0,1441
2026-07-09 00:00:00+02:00,469.0,473.0,466.0,468.0,1301
2026-07-10 00:00:00+02:00,474.0,485.0,474.0,480.0,1110
2026-07-13 00:00:00+02:00,480.0,491.0,477.0,482.0,1009
2026-07-14 00:00:00+02:00,486.0,486.0,475.0,484.0,612
2026-07-15 00:00:00+02:00,485.0,488.0,479.0,481.0,662
2026-07-16 00:00:00+02:00,486.0,486.0,476.0,477.0,784
2026-07-17 00:00:00+02:00,479.0,486.0,475.0,477.0,1027
2026-07-20 00:00:00+02:00,478.0,482.0,475.0,478.0,607
2026-07-21 00:00:00+02:00,480.0,481.0,474.0,481.0,667
2026-07-22 00:00:00+02:00,480.0,487.0,475.0,487.0,621
2026-07-23 00:00:00+02:00,487.0,488.0,479.0,487.0,570
2026-07-24 00:00:00+02:00,490.0,494.0,485.0,494.0,436
2026-07-27 00:00:00+02:00,496.0,510.0,491.0,508.0,1492
2026-07-28 00:00:00+02:00,510.0,512.0,504.0,508.0,547
2026-07-29 00:00:00+02:00,512.0,516.0,500.0,512.0,1210
2026-07-30 00:00:00+02:00,512.0,514.0,502.0,514.0,410
2026-08-03 00:00:00+02:00,514.0,536.0,510.0,532.0,2691
2026-08-04 00:00:00+02:00,536.0,542.0,522.0,534.0,1814
2026-08-05 00:00:00+02:00,538.0,544.0,528.0,540.0,1592
2026-08-06 00:00:00+02:00,544.0,548.0,534.0,544.0,1169
2026-08-07 00:00:00+02:00,546.0,546.0,536.0,540.0,850
