Date,Open,High,Low,Close,Volume
2026-05-07 00:00:00+02:00,4110.0,4138.0,4090.0,4138.0,3049
2026-05-08 00:00:00+02:00,4122.0,4122.0,4000.0,4000.0,8722
2026-05-11 00:00:00+02:00,4038.0,4102.0,3964.0,4050.0,9370
2026-05-12 00:00:00+02:00,4054.0,4076.0,3986.0,4038.0,7146
2026-05-13 00:00:00+02:00,4026.0,4064.0,3946.0,3994.0,2286
2026-05-14 00:00:00+02:00,3982.0,4100.0,3974.0,4010.0,2560
2026-05-15 00:00:00+02:00,4150.0,4320.0,4070.0,4308.0,9120
2026-05-18 00:00:00+02:00,4302.0,4434.0,4224.0,4398.0,7107
2026-05-19 00:00:00+02:00,4408.0,4490.0,4376.0,4438.0,5025
2026-05-20 00:00:00+02:00,4448.0,4462.0,4346.0,4394.0,4403
2026-05-21 00:00:00+02:00,4350.0,4474.0,4270.0,4446.0,3735
2026-05-22 00:00:00+02:00,4446.0,4474.0,4356.0,4474.0,2374
2026-05-25 00:00:00+02:00,4484.0,4600.0,4478.0,4600.0,2181
2026-05-26 00:00:00+02:00,4596.0,4634.0,4538.0,4548.0,2887
2026-05-27 00:00:00+02:00,4570.0,4570.0,4380.0,4450.0,3806
2026-05-28 00:00:00+02:00,4420.0,4480.0,4396.0,4442.0,8762
2026-05-29 00:00:00+02:00,4450.0,4454.0,4402.0,4410.0,6877
2026-06-01 00:00:00+02:00,4410.0,4410.0,4318.0,4380.0,2962
2026-06-02 00:00:00+02:00,4382.0,4582.0,4382.0,4560.0,7095
2026-06-03 00:00:00+02:00,4560.0,4566.0,4430.0,4500.0,9789
2026-06-05 00:00:00+02:00,4520.0,4552.0,4452.0,4510.0,2822
2026-06-08 00:00:00+02:00,4472.0,4600.0,4380.0,4600.0,4609
2026-06-09 00:00:00+02:00,4600.0,4672.0,4550.0,4554.0,7551
2026-06-10 00:00:00+02:00,4550.0,4626.0,4492.0,4526.0,6017
2026-06-11 00:00:00+02:00,4524.0,4632.0,4524.0,4556.0,2776
2026-06-12 00:00:00+02:00,4582.0,4780.0,4582.0,4758.0,6049
2026-06-15 00:00:00+02:00,4794.0,4858.0,4710.0,4750.0,5237
2026-06-16 00:00:00+02:00,4754.0,4754.0,4590.0,4680.0,11493
2026-06-17 00:00:00+02:00,4682.0,4764.0,4638.0,4764.0,5160
2026-06-18 00:00:00+02:00,4762.0,4790.0,4712.0,4742.0,2673
2026-06-19 00:00:00+02:00,4752.0,4884.0,4752.0,4816.0,14889
2026-06-22 00:00:00+02:00,4796.0,4820.0,4714.0,4742.0,4740
2026-06-23 00:00:00+02:00,4712.0,4746.0,4562.0,4746.0,3828
2026-06-24 00:00:00+02:00,4746.0,4790.0,4708.0,4790.0,2785
2026-06-25 00:00:00+02:00,4790.0,4852.0,4770.0,4808.0,5099
2026-06-26 00:00:00+02:00,4800.0,4860.0,4720.0,4860.0,3878
2026-06-29 00:00:00+02:00,4728.0,4858.0,4728.0,4790.0,3962
2026-06-30 00:00:00+02:00,4790.0,4876.0,4786.0,4872.0,3617
2026-07-01 00:00:00+02:00,4826.0,4932.0,4826.0,4924.0,4546
2026-07-02 00:00:00+02:00,4924.0,4980.0,4862.0,4944.0,5118
2026-07-03 00:00:00+02:00,4924.0,4996.0,4882.0,4996.0,3636
2026-07-06 00:00:00+02:00,4990.0,5010.0,4912.0,5010.0,4560
2026-07-07 00:00:00+02:00,5010.0,5025.0,4940.0,4990.0,4333
2026-07-08 00:00:00+02:00,5010.0,5045.0,4938.0,4996.0,5251
2026-07-09 00:00:00+02:00,4950.0,5045.0,4950.0,4976.0,2842
2026-07-10 00:00:00+02:00,5020.0,5020.0,4942.0,4990.0,3306
2026-07-13 00:00:00+02:00,5005.0,5045.0,4952.0,5040.0,6099
2026-07-14 00:00:00+02:00,5040.0,5150.0,4980.0,5150.0,13266
2026-07-15 00:00:00+02:00,5150.0,5225.0,5100.0,5220.0,6680
2026-07-16 00:00:00+02:00,5205.0,5255.0,5150.0,5240.0,3508
2026-07-17 00:00:00+02:00,5240.0,5295.0,5155.0,5255.0,5592
2026-07-20 00:00:00+02:00,5255.0,5365.0,5190.0,5335.0,4321
2026-07-21 00:00:00+02:00,5335.0,5400.0,5265.0,5290.0,7459
2026-07-22 00:00:00+02:00,5300.0,5340.0,5180.0,5215.0,4740
2026-07-23 00:00:00+02:00,5250.0,5250.0,5100.0,5175.0,7615
2026-07-24 00:00:00+02:00,5160.0,5200.0,5100.0,5145.0,5993
2026-07-27 00:00:00+02:00,5090.0,5250.0,5075.0,5240.0,2585
2026-07-28 00:00:00+02:00,5245.0,5300.0,5165.0,5250.0,6825
2026-07-29 00:00:00+02:00,5285.0,5365.0,5215.0,5365.0,4049
2026-07-30 00:00:00+02:00,5365.0,5390.0,5270.0,5360.0,4796
2026-08-03 00:00:00+02:00,5410.0,5435.0,5245.0,5360.0,4341
2026-08-04 00:00:00+02:00,5410.0,5475.0,5245.0,5445.0,6545
2026-08-05 00:00:00+02:00,5445.0,5510.0,5390.0,5465.0,2990
2026-08-06 00:00:00+02:00,5460.0,5460.0,5360.0,5415.0,4535
2026-08-07 00:00:00+02:00,5440.0,5540.0,5405.0,5540.0,3608
