Date,Open,High,Low,Close,Volume
2026-05-07 00:00:00+02:00,588.0,590.0,574.0,586.0,638
2026-05-08 00:00:00+02:00,586.0,590.0,552.0,560.0,1445
2026-05-11 00:00:00+02:00,560.0,570.0,534.0,534.0,1578
2026-05-12 00:00:00+02:00,534.0,544.0,524.0,528.0,632
2026-05-13 00:00:00+02:00,528.0,544.0,524.0,540.0,485
2026-05-14 00:00:00+02:00,548.0,568.0,544.0,554.0,636
2026-05-15 00:00:00+02:00,582.0,582.0,556.0,566.0,1217
2026-05-18 00:00:00+02:00,570.0,590.0,560.0,570.0,689
2026-05-19 00:00:00+02:00,588.0,598.0,558.0,584.0,830
2026-05-20 00:00:00+02:00,584.0,584.0,568.0,576.0,484
2026-05-21 00:00:00+02:00,578.0,590.0,572.0,582.0,584
2026-05-22 00:00:00+02:00,592.0,592.0,572.0,582.0,557
2026-05-25 00:00:00+02:00,590.0,616.0,584.0,610.0,1168
2026-05-26 00:00:00+02:00,610.0,616.0,592.0,612.0,459
2026-05-27 00:00:00+02:00,612.0,616.0,580.0,588.0,1641
2026-05-28 00:00:00+02:00,600.0,600.0,582.0,596.0,736
2026-05-29 00:00:00+02:00,596.0,598.0,580.0,586.0,879
2026-06-01 00:00:00+02:00,586.0,620.0,584.0,620.0,2394
2026-06-02 00:00:00+02:00,624.0,634.0,600.0,626.0,1353
2026-06-03 00:00:00+02:00,626.0,626.0,610.0,618.0,403
2026-06-05 00:00:00+02:00,616.0,618.0,580.0,586.0,929
2026-06-08 00:00:00+02:00,568.0,606.0,536.0,582.0,1145
2026-06-09 00:00:00+02:00,582.0,608.0,582.0,594.0,529
2026-06-10 00:00:00+02:00,590.0,600.0,574.0,580.0,486
2026-06-11 00:00:00+02:00,576.0,594.0,566.0,576.0,797
2026-06-12 00:00:00+02:00,576.0,588.0,558.0,578.0,1007
2026-06-15 00:00:00+02:00,578.0,586.0,552.0,552.0,689
2026-06-16 00:00:00+02:00,552.0,562.0,546.0,558.0,454
2026-06-17 00:00:00+02:00,552.0,554.0,524.0,548.0,1236
2026-06-18 00:00:00+02:00,538.0,540.0,504.0,510.0,4790
2026-06-19 00:00:00+02:00,530.0,540.0,510.0,510.0,4121
2026-06-22 00:00:00+02:00,524.0,532.0,508.0,524.0,290
2026-06-23 00:00:00+02:00,512.0,520.0,502.0,506.0,659
2026-06-24 00:00:00+02:00,522.0,566.0,510.0,564.0,2288
2026-06-25 00:00:00+02:00,564.0,582.0,544.0,550.0,1176
2026-06-26 00:00:00+02:00,550.0,550.0,522.0,530.0,416
2026-06-29 00:00:00+02:00,530.0,530.0,512.0,516.0,202
2026-06-30 00:00:00+02:00,528.0,546.0,526.0,538.0,475
2026-07-01 00:00:00+02:00,536.0,538.0,524.0,534.0,111
2026-07-02 00:00:00+02:00,536.0,544.0,528.0,534.0,281
2026-07-03 00:00:00+02:00,532.0,548.0,530.0,544.0,600
2026-07-06 00:00:00+02:00,544.0,548.0,538.0,538.0,191
2026-07-07 00:00:00+02:00,540.0,540.0,506.0,540.0,1586
2026-07-08 00:00:00+02:00,540.0,568.0,536.0,550.0,2722
2026-07-09 00:00:00+02:00,550.0,562.0,550.0,552.0,505
2026-07-10 00:00:00+02:00,564.0,564.0,542.0,544.0,932
2026-07-13 00:00:00+02:00,556.0,556.0,532.0,540.0,565
2026-07-14 00:00:00+02:00,536.0,546.0,530.0,540.0,661
2026-07-15 00:00:00+02:00,502.0,516.0,482.0,500.0,8460
2026-07-16 00:00:00+02:00,497.0,499.0,490.0,493.0,3449
2026-07-17 00:00:00+02:00,491.0,493.0,478.0,489.0,2636
2026-07-20 00:00:00+02:00,493.0,493.0,479.0,487.0,4299
2026-07-21 00:00:00+02:00,489.0,493.0,485.0,493.0,1430
2026-07-22 00:00:00+02:00,495.0,506.0,494.0,504.0,5476
2026-07-23 00:00:00+02:00,504.0,504.0,486.0,491.0,1345
2026-07-24 00:00:00+02:00,489.0,495.0,480.0,492.0,1684
2026-07-27 00:00:00+02:00,493.0,494.0,480.0,485.0,1542
2026-07-28 00:00:00+02:00,485.0,490.0,479.0,482.0,908
2026-07-29 00:00:00+02:00,487.0,487.0,479.0,484.0,1253
2026-07-30 00:00:00+02:00,481.0,482.0,471.0,480.0,1413
2026-08-03 00:00:00+02:00,477.0,488.0,477.0,488.0,569
2026-08-04 00:00:00+02:00,489.0,496.0,481.0,485.0,886
2026-08-05 00:00:00+02:00,494.0,494.0,485.0,494.0,716
2026-08-06 00:00:00+02:00,493.0,494.0,485.0,488.0,326
2026-08-07 00:00:00+02:00,494.0,494.0,486.0,488.0,499
